User,Condition,AttentionScore
User 59,RET,0.9301636712816799
User 59,RET,0.924547010133563
User 59,RET,0.9285072405888716
User 59,RET,0.9254651204997706
User 59,RET,0.92109235054312
User 59,RET,0.9194017407184837
User 59,RET,0.9318460954009422
User 59,RET,0.9284815621836786
User 59,RET,0.9322345713062233
User 59,RET,0.9205760197798186
User 59,RET,0.9274250391966048
User 59,RET,0.9197313249034316
User 59,RET,0.9316393964233023
User 59,RET,0.9265071027042245
User 59,RET,0.9283790643548093
User 59,RET,0.9232894593515255
User 59,RET,0.9271351688235808
User 59,RET,0.9332284058826097
User 59,RET,0.9527675642606873
User 59,RET,0.9327187822737553
User 59,RET,0.9355262443556293
User 59,RET,0.9247381179396446
User 59,RET,0.918194177467358
User 59,RET,0.9276360656477952
User 59,RET,0.92307935409599
User 59,RET,0.9315633887147637
User 59,RET,0.9330217213490446
User 59,RET,0.9348602327499299
User 59,RET,0.9406949240125148
User 59,RET,0.921649758430477
User 59,RET,0.9171694263648182
User 59,RET,0.9180471601310379
User 59,RET,0.9249801300944347
User 59,RET,0.9225978117742939
User 59,RET,0.9217256047643639
User 59,RET,0.9308354680608425
User 59,RET,0.9373009817999564
User 59,RET,0.9342709233335765
User 59,RET,0.9297624975941315
User 59,RET,0.9349227177239435
User 59,RET,0.9245094049988439
User 59,RET,0.9271772759162066
User 59,RET,0.9309243611919128
User 59,RET,0.9167452677214839
User 6,SHT,0.92928372332476
User 6,SHT,0.9471591853719793
User 6,SHT,0.9337286363495638
User 6,SHT,0.9396947058242235
User 6,SHT,0.9358095015679887
User 6,SHT,0.9558106114979906
User 6,SHT,0.9434960629726318
User 6,SHT,0.9408592632744108
User 6,SHT,0.9359157111795093
User 6,SHT,0.9513505435054178
User 6,SHT,0.9348803693418798
User 6,SHT,0.9480747760654328
User 6,SHT,0.9374714835730625
User 6,SHT,0.9355643089992088
User 6,SHT,0.9344774380223618
User 6,SHT,0.948656107477926
User 6,SHT,0.9424288298881376
User 6,SHT,0.941917532030606
User 6,SHT,0.9417046439971668
User 6,SHT,0.9587854523705195
User 6,SHT,0.9338068300581454
User 6,SHT,0.9357723564682104
User 6,SHT,0.9452889042514343
User 6,SHT,0.9370130243340081
User 6,SHT,0.945052217443659
User 6,SHT,0.9299058642608075
User 6,SHT,0.9469319740080242
User 6,SHT,0.9306656957145331
User 6,SHT,0.9409785800748773
User 6,SHT,0.9504458210472696
User 6,SHT,0.9382825783832521
User 6,SHT,0.9550096942408671
User 6,SHT,0.9366557907566867
User 6,SHT,0.9430928130343783
User 6,SHT,0.9358983910208752
User 6,SHT,0.9625892430953078
User 6,SHT,0.957020370402488
User 6,SHT,0.9550111355532568
User 6,SHT,0.9280529181345767
User 6,SHT,0.9285153669538949
User 6,SHT,0.9323954909096299
User 60,RET,0.9332145471694484
User 60,RET,0.9308760424559807
User 60,RET,0.91400780309185
User 60,RET,0.928968231184159
User 60,RET,0.9126888852537979
User 60,RET,0.896320062526938
User 60,RET,0.926972014576894
User 60,RET,0.9148624098860955
User 60,RET,0.9195904733770998
User 60,RET,0.9143955501667763
User 60,RET,0.9196970678762081
User 60,RET,0.9405989495793837
User 60,RET,0.9361376874185631
User 60,RET,0.9133769210072297
User 60,RET,0.8960777389891812
User 60,RET,0.914937011019504
User 60,RET,0.9113085162529996
User 60,RET,0.9090028127087094
User 60,RET,0.9210810410043472
User 60,RET,0.9090799997076092
User 60,RET,0.9167398524607959
User 60,RET,0.9410455324948032
User 60,RET,0.907305446930501
User 60,RET,0.9267397463620058
User 60,RET,0.929882926530813
User 60,RET,0.9166192940794589
User 60,RET,0.909271506513407
User 60,RET,0.9058128249648846
User 60,RET,0.8944167227271437
User 60,RET,0.8887158331566082
User 60,RET,0.8845265458429158
User 60,RET,0.9211874310645464
User 60,RET,0.9253931194517642
User 60,RET,0.9267632210636296
User 60,RET,0.9246263719710774
User 60,RET,0.9219974514356647
User 60,RET,0.9236576234156958
User 60,RET,0.9266965668690773
User 60,RET,0.9247696675030838
User 60,RET,0.9212646826531241
User 60,RET,0.9261788704399888
User 60,RET,0.9184095991232217
User 60,RET,0.9176695404029475
User 60,RET,0.9270900960708406
User 60,RET,0.9161167232526638
User 60,RET,0.9165108427610114
User 60,RET,0.9245247684236213
User 60,RET,0.9256665871513747
User 60,RET,0.9165821537401944
User 60,RET,0.9254743055604748
User 60,RET,0.9251658008743394
User 60,RET,0.9199153542144245
User 60,RET,0.952285189608655
User 60,RET,0.9319677312829147
User 60,RET,0.9249206695865212
User 60,RET,0.9258907240337575
User 60,RET,0.9220740235071165
User 60,RET,0.9208411056130292
User 60,RET,0.9345296046166487
User 60,RET,0.9232640327897758
User 60,RET,0.9357826430770065
User 60,RET,0.9308971458178558
User 60,RET,0.9241948800968081
User 60,RET,0.923135718804101
User 60,RET,0.9161753494524252
User 60,RET,0.9123763043676308
User 60,RET,0.9186685215212411
User 60,RET,0.906736561618121
User 60,RET,0.9199430814190493
User 60,RET,0.922222557769089
User 60,RET,0.9325399376643563
User 60,RET,0.9204857011208067
User 60,RET,0.9217699836825934
User 60,RET,0.9279605678886249
User 60,RET,0.9308992990168808
User 61,SHT,0.8966139399716228
User 61,SHT,0.8935670628153077
User 61,SHT,0.8959584131844692
User 61,SHT,0.8830959898700665
User 61,SHT,0.9066686043569139
User 61,SHT,0.903803615757487
User 61,SHT,0.9128101505940606
User 61,SHT,0.9062941039160946
User 61,SHT,0.9130025815347009
User 61,SHT,0.9128577687433421
User 61,SHT,0.9195572026855805
User 62,RET,0.9292776333695041
User 62,RET,0.9377057380751597
User 62,RET,0.960393658601047
User 62,RET,0.9468601529407
User 62,RET,0.9182552886769407
User 62,RET,0.9321709116970608
User 62,RET,0.9245234365136502
User 62,RET,0.9403143865471322
User 62,RET,0.9610919472438707
User 62,RET,0.9368100078758264
User 62,RET,0.9349009405090816
User 62,RET,0.9351512929730492
User 62,RET,0.9518313003196645
User 62,RET,0.9610479589987629
User 62,RET,0.9447119454204826
User 62,RET,0.9568961041178188
User 62,RET,0.9438887664048192
User 62,RET,0.9431045250311597
User 62,RET,0.937964370517208
User 62,RET,0.9427442532424324
User 62,RET,0.9291030831694946
User 62,RET,0.9466435258618514
User 62,RET,0.9468141990295289
User 62,RET,0.9215712933903746
User 62,RET,0.9591889077874384
User 62,RET,0.9369552596578401
User 62,RET,0.9345554301286274
User 62,RET,0.9486393110259105
User 62,RET,0.9458763609982311
User 62,RET,0.9403599756851767
User 62,RET,0.9467519280044915
User 62,RET,0.9629663351036375
User 62,RET,0.9434813916867769
User 62,RET,0.9639602575572314
User 62,RET,0.9424205786397193
User 62,RET,0.9358274344849131
User 62,RET,0.9464255013984031
User 62,RET,0.9483539905661099
User 62,RET,0.945923871755098
User 62,RET,0.9549017581884794
User 62,RET,0.9520844208050991
User 62,RET,0.9345050321565175
User 62,RET,0.9388386319894988
User 62,RET,0.9290981805664541
User 62,RET,0.9434419163564235
User 62,RET,0.9476404895642055
User 62,RET,0.9340002634542931
User 62,RET,0.9274916559063683
User 62,RET,0.9433613976743765
User 62,RET,0.9490464508753719
User 62,RET,0.9436672742788599
User 62,RET,0.953906734048709
User 62,RET,0.9545081587210653
User 62,RET,0.9517622482734575
User 62,RET,0.9450759660885453
User 62,RET,0.9328781338744002
User 62,RET,0.9239456955494508
User 62,RET,0.921785112840552
User 62,RET,0.9618709112802489
User 65,SHT,0.9431513571190867
User 65,SHT,0.9395573456231763
User 65,SHT,0.9562115301483232
User 65,SHT,0.9551129976301493
User 65,SHT,0.936419619240532
User 65,SHT,0.9235436332442045
User 65,SHT,0.9368303405088072
User 65,SHT,0.9326906544638738
User 65,SHT,0.9381025353994756
User 65,SHT,0.9431585021338764
User 65,SHT,0.9102741744936862
User 65,SHT,0.9152779005175389
User 65,SHT,0.9460079247574336
User 65,SHT,0.9433292455070473
User 65,SHT,0.9427012331144972
User 65,SHT,0.9366930056847949
User 65,SHT,0.9486287840069785
User 65,SHT,0.9342619173942643
User 65,SHT,0.9307502740098588
User 65,SHT,0.9397152204241682
User 65,SHT,0.9429340524454234
User 65,SHT,0.9439935330085143
User 65,SHT,0.9358843284073873
User 65,SHT,0.9273082129550877
User 65,SHT,0.9359247076112832
User 65,SHT,0.9331627394098059
User 65,SHT,0.9288160425133442
User 65,SHT,0.9482972172701554
User 65,SHT,0.9440300649552177
User 65,SHT,0.927862106466427
User 65,SHT,0.9344315119445176
User 65,SHT,0.9450843539048924
User 65,SHT,0.9398724674939389
User 65,SHT,0.9495607827727848
User 65,SHT,0.943380878309226
User 65,SHT,0.9300946413584433
User 65,SHT,0.9212362561837077
User 65,SHT,0.9335781713221023
User 65,SHT,0.9346181534178227
User 65,SHT,0.9308805300710492
User 65,SHT,0.9427075652014909
User 65,SHT,0.9389196788876087
User 65,SHT,0.9497250858693124
User 65,SHT,0.9273915892131906
User 65,SHT,0.9258544605889022
User 65,SHT,0.9586300724757758
User 65,SHT,0.9328100138362062
User 65,SHT,0.9423249418923992
User 65,SHT,0.9267231510867647
User 65,SHT,0.9481538748716056
User 65,SHT,0.9242315236815163
User 65,SHT,0.9490635323074836
User 65,SHT,0.9317107380906181
User 65,SHT,0.9319890946445225
User 65,SHT,0.9337962347800189
User 65,SHT,0.9338009348396635
User 65,SHT,0.9392612291702893
User 66,SHT,0.9130769888745006
User 66,SHT,0.9135252159367149
User 66,SHT,0.9201338040323881
User 66,SHT,0.9036200359751243
User 66,SHT,0.9236593513347816
User 66,SHT,0.8909070009889665
User 66,SHT,0.923365307097131
User 66,SHT,0.9314220604769289
User 66,SHT,0.9303628985786132
User 66,SHT,0.9222454461981285
User 66,SHT,0.9180667098896397
User 66,SHT,0.922437184771428
User 66,SHT,0.9165328775112386
User 66,SHT,0.8874828406685795
User 66,SHT,0.8825150964624214
User 66,SHT,0.9137284661426548
User 66,SHT,0.8998303755325865
User 66,SHT,0.9031333475003197
User 66,SHT,0.8928951538136242
User 66,SHT,0.9208563578517568
User 66,SHT,0.9313395866637144
User 66,SHT,0.9264524168527857
User 66,SHT,0.9275310856619585
User 66,SHT,0.9225261150406081
User 66,SHT,0.9135755010677153
User 66,SHT,0.9115624838544799
User 66,SHT,0.9178588537307244
User 66,SHT,0.9257421650437613
User 66,SHT,0.933551862721365
User 66,SHT,0.9028375893035475
User 66,SHT,0.9212039230735997
User 66,SHT,0.9087606619525046
User 66,SHT,0.8846869308186209
User 66,SHT,0.9075539984561649
User 66,SHT,0.9195824322808804
User 66,SHT,0.881509576926683
User 66,SHT,0.9311685235396004
User 66,SHT,0.8960076436424356
User 66,SHT,0.9022717900025446
User 66,SHT,0.9081941041277487
User 66,SHT,0.9120271614654527
User 66,SHT,0.9043589636567413
User 66,SHT,0.9136333096868589
User 66,SHT,0.9262144988632819
User 66,SHT,0.9108051413337561
User 66,SHT,0.908345927831522
User 66,SHT,0.914011368698672
User 66,SHT,0.9084620879249762
User 66,SHT,0.9348705709189918
User 66,SHT,0.9120695932135097
User 67,SHT,0.9093506320991099
User 67,SHT,0.9376725580999143
User 67,SHT,0.9101829647959495
User 67,SHT,0.9185400996696833
User 67,SHT,0.9230193534461913
User 67,SHT,0.9055324384862811
User 67,SHT,0.9469782806283074
User 67,SHT,0.9333605577323308
User 67,SHT,0.8975561985950923
User 67,SHT,0.9080264863520618
User 67,SHT,0.9171908732302314
User 67,SHT,0.926864301403917
User 67,SHT,0.9195126685046435
